,name,category,state_abbrv,county_uid,city_uid,in_flow,out_flow,flow,pretty_category,lcc,color,x,y
c4626516-09c4-454b-a6b4-a4068684b970,THE RICHARD AND ESLYN BASSUK FOUNDATION INC,Private-ish,NY,C-119-36,SCARSDALE-119-36,0.0,1000.0,1000.0,Private-ish,1,#668DE5,72.26926808026963,161.6720145017552
e8cd8449-d57a-4ab4-b2dc-365363cc3d00,SAMUEL J  ETHEL LEFRAK CHARITABLE TRUST,Private-ish,DE,C-3-10,WILMINGTON-3-10,0.0,4000.0,4000.0,Private-ish,1,#668DE5,67.75759753915793,141.09858793974362
39d46817-4e8c-413e-8ce5-7e0138206421,THE HOWARD RUBENSTEIN FAMILY FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,370000.0,370000.0,Private-ish,1,#668DE5,73.69162597295251,162.6983537526121
c4269e3b-abf7-42e7-b247-31f1773bc70c,EDWARD SULZBERGER FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,100.0,100.0,Private-ish,1,#668DE5,69.84155390360341,85.21657820715714
6fef662a-2514-480c-9f94-26f23438dcd5,STANLEY J AND DORIS FENVESSY FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,50.0,50.0,Private-ish,1,#668DE5,95.76902477084424,132.20340218837646
4db783d5-41cf-403b-8da6-ffdd67dda27c,THE WILLIAM G WALTERS FOUNDATION WILLIAM G WALTERS,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,3000.0,3000.0,Private-ish,1,#668DE5,51.70558331845809,175.01822268617104
d1a549e9-eaf3-4b05-abea-d72bdca25a2e,TODD GOODWIN CHARITABLE TRUST,Private-ish,FL,C-99-12,NORTH PALM BEACH-99-12,0.0,100.0,100.0,Private-ish,1,#668DE5,45.81528974029503,183.87709093224055
2747b0f7-8fcc-4366-a5aa-c5e2088edb49,THE DONALD J TRUMP FOUNDATION,Private-ish,NY,C-71-36,WOODBURY-71-36,0.0,26000.0,26000.0,Private-ish,1,#668DE5,77.73157391483943,139.0765148231912
bd8032a0-359d-41a5-ab55-d1b1b29a7778,GEORGE L OHRSTROM JR FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,83000.0,83000.0,Private-ish,1,#668DE5,64.64015138963416,133.70897623931052
c2b11abb-84ec-440c-b1be-291ed53a40d2,CHARLES A  MARNA DAVIS FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,300.0,300.0,Private-ish,1,#668DE5,68.47268605891858,180.40824084057076
5cd419ce-441f-46c9-91c5-f8b7ba3e9e98,ARMELLINO FAMILY FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,100.0,100.0,Private-ish,1,#668DE5,66.14999311736901,86.58864600498464
091de956-df3b-4ef8-bde1-0fc5b591d055,WALTON FAMILY FOUNDATION INC,Private-ish,AR,C-7-5,BENTONVILLE-7-5,0.0,21000.0,21000.0,Private-ish,1,#668DE5,60.26412680381156,43.06338967917071
2f2e1cd3-d79b-468e-8a69-24e0b1c2450f,MUTUAL OF AMERICA FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,12800.0,12800.0,Private-ish,1,#668DE5,74.55508489537912,111.78556098128979
51bd972c-33b5-44c6-afa5-43ef9998a8ba,THE MURRAY ALON CHARITABLE FOUNDATION,Private-ish,NY,C-81-36,NEW YORK-0-36,0.0,400.0,400.0,Private-ish,1,#668DE5,64.08679003108212,87.6374289147652
1fb90767-de53-4800-ad5b-e4ae43518bb0,FINNERAN FAMILY FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,21000.0,21000.0,Private-ish,1,#668DE5,81.39031210205546,130.40279696917017
d08b4b7d-306b-4f2f-8910-88b603895ac9,SAMUEL  FRANCINE KLAGSBRUN FOUNDTN,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,65.0,65.0,Private-ish,1,#668DE5,61.65886508402732,102.05959725145708
dfbf50e8-d8ae-4a7e-96c4-241bdff3f1ec,THE NAGLE FAMILY FOUNDATION,Private-ish,NY,C-119-36,BRONXVILLE-119-36,0.0,95.0,95.0,Private-ish,1,#668DE5,68.09350361118123,94.34727840437165
14f1412e-edfe-4f69-a66d-aac39e83ef03,FEDERAL LAW ENFORCEMENT FOUNDATION INC,Police Nonprofits,NY,C-47-36,NEW YORK-0-36,480900.0,47500.0,528400.0,Havens,1,#F2BE57,76.27462794952245,152.9781665661414
67474327-2be0-486b-ac09-7ede6f3b6788,THE LITWIN FOUNDATION INC,Private-ish,NY,C-59-36,NEW HYDE PARK-59-36,0.0,3000.0,3000.0,Private-ish,1,#668DE5,67.1543976752678,138.59668693767406
cc1c286c-71fb-4ac2-a70e-59f0578e4651,DAVID  SHEILA CORNSTEIN FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,2500.0,2500.0,Private-ish,1,#668DE5,88.10030584521697,148.23104432279845
61f11fcb-6023-4ef8-86a9-109f9a046c1e,FRANK CRYSTAL FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,5000.0,5000.0,Private-ish,1,#668DE5,80.99374218370508,136.39301541233178
ecad68be-a521-49f1-9127-2b9f65c05b3c,HEALEY FAMILY FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,2000.0,2000.0,Private-ish,1,#668DE5,81.54702966397659,137.75994458732
30dad62b-a1cd-4222-9b0e-9a29ed7e75f1,THE EINHORN FAMILY FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,13250.0,13250.0,Private-ish,1,#668DE5,64.04792788263,150.25547128119788
dca49946-35f7-4720-babc-0d0cd2ed2318,HENRY C  KARIN J BARKHORN FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,4000.0,4000.0,Private-ish,1,#668DE5,86.85552635069868,138.0306418408719
732b8bb2-46ba-43dd-a847-e2d0146d4a1a,SHARON  LEWIS KORMAN FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,150.0,150.0,Private-ish,1,#668DE5,31.12282275003426,158.59125340446008
d38d0f29-c1f1-419c-90b0-1f031267080d,GOLDBERGNASH FAMILY FOUNDATION FKA BETH NASH AND JOSHUA NASH CHARITABLE TRUST,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,3000.0,3000.0,Private-ish,1,#668DE5,71.56257669624804,148.979792382008
ac1f554b-7e89-4c14-ab2f-f5fa7576b1bb,ROBERT  BETHANY MILLARD CHARITABLE FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1400.0,1400.0,Private-ish,1,#668DE5,33.493602847095104,107.52395338783735
c685e935-2cd6-4717-80ed-1145bbf9c5f4,WILLIAM M BACKER FOUNDATION INC,Private-ish,VA,C-61-51,THE PLAINS-61-51,0.0,25.0,25.0,Private-ish,1,#668DE5,44.59760401871772,71.35953084221126
2cdff27f-7e40-4347-834d-5d328126e4e0,PARK AVENUE CHARITABLE FUND,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,20000.0,20000.0,Private-ish,1,#668DE5,85.4376055006291,135.54210974637982
2ce30dc3-0c34-4ea0-a0cb-f9b43d428f9c,THE BEIRNE FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1000.0,1000.0,Private-ish,1,#668DE5,63.35963219046169,137.63519205766096
5da8106a-c29c-4529-82f4-f61cf78414d3,THE STANTON FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,10000.0,10000.0,Private-ish,1,#668DE5,79.22419439809246,69.4291574405153
eecf2159-e31f-43b1-aebf-533a446971d0,ABNY FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,75000.0,75000.0,Private-ish,1,#668DE5,67.63106142772602,139.8894630209868
01a86b69-ae81-433c-8824-f4a0ec4cd12c,JOHN A REISENBACH FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,75000.0,75000.0,Private-ish,1,#668DE5,69.01440181027863,140.8059661130568
cdd48afd-0c53-47c2-a6d6-db5a2cdadb74,AG BURNHAM CHARITABLE FUND INC,Private-ish,IA,C-11-19,VINTON-11-19,0.0,7000.0,7000.0,Private-ish,1,#668DE5,58.31389773225186,141.89627153301433
